Symbol,Total_Trades,Total_PnL,Avg_PnL,Long_Trades,Target_Hits,Win_Rate
ADANIENSOL,1,-10000.0,-10000.0,1,0,0.0
AFCONS,1,-10000.0,-10000.0,1,0,0.0
AMBUJACEM,1,-10000.0,-10000.0,0,0,0.0
APOLLOHOSP,3,-16516.0,-5505.33,3,0,0.33
ASTRAL,2,-20000.0,-10000.0,0,0,0.0
AXISBANK,1,504.9,504.9,0,0,1.0
BEL,3,-19456.1,-6485.37,2,0,0.33
BHARATFORG,1,-10000.0,-10000.0,0,0,0.0
BHARTIARTL,1,-10000.0,-10000.0,0,0,0.0
BHARTIHEXA,1,-10000.0,-10000.0,1,0,0.0
BRIGADE,1,-10000.0,-10000.0,0,0,0.0
BRITANNIA,1,-10000.0,-10000.0,1,0,0.0
BSE,4,67445.1,16861.27,4,1,0.5
CAMS,1,-10000.0,-10000.0,1,0,0.0
CUMMINSIND,2,-20000.0,-10000.0,1,0,0.0
DELHIVERY,1,-10000.0,-10000.0,1,0,0.0
ETERNAL,6,-47714.0,-7952.33,4,0,0.17
FINCABLES,1,80000.0,80000.0,0,1,1.0
FIVESTAR,1,-10000.0,-10000.0,0,0,0.0
GLENMARK,1,-10000.0,-10000.0,0,0,0.0
GRASIM,1,-10000.0,-10000.0,0,0,0.0
GVT&D,1,-10000.0,-10000.0,0,0,0.0
HAL,2,-7377.6,-3688.8,2,0,0.5
HAVELLS,1,1251.2,1251.2,1,0,1.0
HBLENGINE,1,80000.0,80000.0,1,1,1.0
HCLTECH,2,-20000.0,-10000.0,1,0,0.0
HDFCAMC,1,-10000.0,-10000.0,0,0,0.0
HDFCBANK,3,-8959.7,-2986.57,2,0,0.33
HDFCLIFE,2,-8878.0,-4439.0,2,0,0.5
HEROMOTOCO,1,1617.0,1617.0,1,0,1.0
HINDUNILVR,1,-10000.0,-10000.0,0,0,0.0
HYUNDAI,1,-10000.0,-10000.0,1,0,0.0
ICICIBANK,5,-19216.0,-3843.2,4,0,0.6
INDIGO,3,-30000.0,-10000.0,3,0,0.0
INDUSTOWER,1,568.1,568.1,0,0,1.0
INFY,4,-29420.4,-7355.1,3,0,0.25
ITC,4,61014.3,15253.58,0,1,0.5
JINDALSTEL,3,60000.0,20000.0,1,1,0.33
KALYANKJIL,3,73524.25,24508.08,2,1,0.67
KAYNES,4,-40000.0,-10000.0,4,0,0.0
KOTAKBANK,5,51100.0,10220.0,3,1,0.4
LAURUSLABS,2,70000.0,35000.0,2,1,0.5
LT,1,-10000.0,-10000.0,1,0,0.0
M&M,1,-10000.0,-10000.0,1,0,0.0
MCX,3,-6616.0,-2205.33,3,0,0.67
MUTHOOTFIN,1,-10000.0,-10000.0,1,0,0.0
NAUKRI,2,-20000.0,-10000.0,2,0,0.0
NEWGEN,3,-30000.0,-10000.0,3,0,0.0
NMDC,2,-20000.0,-10000.0,2,0,0.0
NYKAA,1,-10000.0,-10000.0,1,0,0.0
OLAELEC,2,-20000.0,-10000.0,2,0,0.0
ONGC,2,-20000.0,-10000.0,1,0,0.0
PAGEIND,2,-9620.0,-4810.0,1,0,0.5
PAYTM,1,-10000.0,-10000.0,0,0,0.0
PERSISTENT,1,-10000.0,-10000.0,1,0,0.0
PIIND,2,-20000.0,-10000.0,1,0,0.0
POLYMED,1,80000.0,80000.0,1,1,1.0
POWERGRID,1,-10000.0,-10000.0,1,0,0.0
PRESTIGE,1,-10000.0,-10000.0,1,0,0.0
RVNL,1,-10000.0,-10000.0,1,0,0.0
SBIN,1,-10000.0,-10000.0,1,0,0.0
SHRIRAMFIN,4,-40000.0,-10000.0,2,0,0.0
STARHEALTH,3,-30000.0,-10000.0,2,0,0.0
SUPREMEIND,2,-20000.0,-10000.0,1,0,0.0
SUZLON,1,-10000.0,-10000.0,0,0,0.0
SWIGGY,1,-10000.0,-10000.0,0,0,0.0
TATAMOTORS,2,-20000.0,-10000.0,1,0,0.0
TATAPOWER,1,387.75,387.75,1,0,1.0
TATASTEEL,3,-30000.0,-10000.0,2,0,0.0
TCS,4,-40000.0,-10000.0,1,0,0.0
TITAN,1,-10000.0,-10000.0,0,0,0.0
TORNTPHARM,2,-20000.0,-10000.0,1,0,0.0
TRENT,3,-30000.0,-10000.0,1,0,0.0
TVSMOTOR,3,-30000.0,-10000.0,1,0,0.0
ULTRACEMCO,3,-30000.0,-10000.0,3,0,0.0
UNITDSPR,1,-10000.0,-10000.0,0,0,0.0
VIJAYA,1,-10000.0,-10000.0,0,0,0.0
WAAREEENER,2,-20000.0,-10000.0,0,0,0.0
